productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardType,extCardText
86688,Leavanny,Leavanny,https://tcgplayer-cdn.tcgplayer.com/product/86688_200w.jpg,3,1413,https://cpt.tcgcsv.com/NHJ,2023-01-10T16:57:39.373,1,10/135,Rare,140,Stage 2,"[2] Cleave (30) Flip 2 coins.  If both of them are heads, discard all Energy attached to the Defending Pokemon.","[1GG] Leaf Blade (70+) Flip a coin.  If heads, this attack does 20 more damage.",Rx2,,2,0.3,0.5,1.7,0.82,,Normal,,
86688,Leavanny,Leavanny,https://tcgplayer-cdn.tcgplayer.com/product/86688_200w.jpg,3,1413,https://cpt.tcgcsv.com/NHJ,2023-01-10T16:57:39.373,1,10/135,Rare,140,Stage 2,"[2] Cleave (30) Flip 2 coins.  If both of them are heads, discard all Energy attached to the Defending Pokemon.","[1GG] Leaf Blade (70+) Flip a coin.  If heads, this attack does 20 more damage.",Rx2,,2,0.69,1.06,4.0,1.02,,Reverse Holofoil,,
86728,Liepard (Team Plasma),Liepard Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/86728_200w.jpg,3,1413,https://cpt.tcgcsv.com/BJJ,2023-01-10T17:16:41.99,1,84/135,Rare,80,Stage 1,[1] Silent Claw - Your opponent reveals his or her hand.  Discard a Supporter card you find there.  Use the effect of that card as the effect of this attack.,"[1D] Fake Out (30) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",Fx2,P-20,1,0.4,0.92,2.0,1.16,,Normal,,
86728,Liepard (Team Plasma),Liepard Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/86728_200w.jpg,3,1413,https://cpt.tcgcsv.com/BJJ,2023-01-10T17:16:41.99,1,84/135,Rare,80,Stage 1,[1] Silent Claw - Your opponent reveals his or her hand.  Discard a Supporter card you find there.  Use the effect of that card as the effect of this attack.,"[1D] Fake Out (30) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",Fx2,P-20,1,1.09,1.99,4.0,1.81,,Reverse Holofoil,,
86812,Litwick,Litwick,https://tcgplayer-cdn.tcgplayer.com/product/86812_200w.jpg,3,1413,https://cpt.tcgcsv.com/gLJ,2025-11-24T12:43:30.157,1,21/135,Common,60,Basic,"[1] Surprise Attack (20) Flip a coin.  If tails, this attack does nothing.",,Wx2,,1,0.1,0.27,19.5,0.27,0.21,Normal,,
86812,Litwick,Litwick,https://tcgplayer-cdn.tcgplayer.com/product/86812_200w.jpg,3,1413,https://cpt.tcgcsv.com/gLJ,2025-11-24T12:43:30.157,1,21/135,Common,60,Basic,"[1] Surprise Attack (20) Flip a coin.  If tails, this attack does nothing.",,Wx2,,1,0.3,1.0,3.99,1.04,,Reverse Holofoil,,
86821,Lombre,Lombre,https://tcgplayer-cdn.tcgplayer.com/product/86821_200w.jpg,3,1413,https://cpt.tcgcsv.com/rLJ,2023-01-10T17:00:57.493,1,30/135,Uncommon,80,Stage 1,"[2] Jump On (20+) Flip a coin.  If heads, this attack does 20 more damage.",[2W] Wave Splash (50),Lx2,,2,0.19,0.35,5.0,0.32,,Normal,,
86821,Lombre,Lombre,https://tcgplayer-cdn.tcgplayer.com/product/86821_200w.jpg,3,1413,https://cpt.tcgcsv.com/rLJ,2023-01-10T17:00:57.493,1,30/135,Uncommon,80,Stage 1,"[2] Jump On (20+) Flip a coin.  If heads, this attack does 20 more damage.",[2W] Wave Splash (50),Lx2,,2,1.35,2.74,6.97,2.61,,Reverse Holofoil,,
86839,Lotad,Lotad,https://tcgplayer-cdn.tcgplayer.com/product/86839_200w.jpg,3,1413,https://cpt.tcgcsv.com/PLJ,2025-11-11T22:32:41.023,1,29/135,Common,60,Basic,"[1W] Bubble Beam (20) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",,Lx2,,1,0.14,0.29,5.0,0.31,,Normal,,
86839,Lotad,Lotad,https://tcgplayer-cdn.tcgplayer.com/product/86839_200w.jpg,3,1413,https://cpt.tcgcsv.com/PLJ,2025-11-11T22:32:41.023,1,29/135,Common,60,Basic,"[1W] Bubble Beam (20) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",,Lx2,,1,0.25,0.5,2.0,1.24,,Reverse Holofoil,,
