productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,extCardText
152815,Sun & Moon Trainer Kit: Lycanroc & Alolan Raichu,Sun and Moon Trainer Kit Lycanroc and Alolan Raichu,https://tcgplayer-cdn.tcgplayer.com/product/152815_200w.jpg,3,2069,https://cpt.tcgcsv.com/k8f2,2021-07-02T21:27:26.53,1,10.99,19.94,59.99,12.6,,Normal,,,,,,,,,,,
152816,Caterpie,Caterpie,https://tcgplayer-cdn.tcgplayer.com/product/152816_200w.jpg,3,2069,https://cpt.tcgcsv.com/l8f2,2022-12-14T15:22:42.907,0,0.08,0.22,4.0,0.14,,Normal,1/30,Common,Grass,50,Basic,"[1] Nap
<br>Heal 20 damage from this Pokemon.",[2] Gnaw (20),Rx2,None,1,
152817,Fighting Energy (#2),Fighting Energy 2,https://tcgplayer-cdn.tcgplayer.com/product/152817_200w.jpg,3,2069,https://cpt.tcgcsv.com/m8f2,2022-12-14T15:23:05.577,0,0.04,0.2,0.99,0.08,,Normal,2/30,Common,Basic Fighting Energy,,,,,,,,
152818,Fighting Energy (#3),Fighting Energy 3,https://tcgplayer-cdn.tcgplayer.com/product/152818_200w.jpg,3,2069,https://cpt.tcgcsv.com/n8f2,2022-12-14T15:23:28.453,0,0.05,0.2,0.4,0.1,,Normal,3/30,Common,Basic Fighting Energy,,,,,,,,
152819,Fighting Energy (#5),Fighting Energy 5,https://tcgplayer-cdn.tcgplayer.com/product/152819_200w.jpg,3,2069,https://cpt.tcgcsv.com/p8f2,2022-12-14T15:23:54.28,0,0.05,0.2,2.21,0.09,,Normal,5/30,Common,Basic Fighting Energy,,,,,,,,
152820,Fighting Energy (#6),Fighting Energy 6,https://tcgplayer-cdn.tcgplayer.com/product/152820_200w.jpg,3,2069,https://cpt.tcgcsv.com/q8f2,2022-12-14T15:24:11.887,0,0.01,0.2,1.49,0.09,,Normal,6/30,Common,Basic Fighting Energy,,,,,,,,
152821,Fighting Energy (#7),Fighting Energy 7,https://tcgplayer-cdn.tcgplayer.com/product/152821_200w.jpg,3,2069,https://cpt.tcgcsv.com/r8f2,2022-12-14T15:24:22.9,0,0.01,0.2,5.69,0.1,,Normal,7/30,Common,Basic Fighting Energy,,,,,,,,
152822,Fighting Energy (#8),Fighting Energy 8,https://tcgplayer-cdn.tcgplayer.com/product/152822_200w.jpg,3,2069,https://cpt.tcgcsv.com/s8f2,2022-12-14T15:24:48.397,0,0.04,0.17,0.5,0.08,,Normal,8/30,Common,Basic Fighting Energy,,,,,,,,
152823,Fighting Energy (#9),Fighting Energy 9,https://tcgplayer-cdn.tcgplayer.com/product/152823_200w.jpg,3,2069,https://cpt.tcgcsv.com/t8f2,2022-12-14T15:25:00.923,0,0.01,0.2,2.21,0.1,,Normal,9/30,Common,Basic Fighting Energy,,,,,,,,
152824,Fighting Energy (#10),Fighting Energy 10,https://tcgplayer-cdn.tcgplayer.com/product/152824_200w.jpg,3,2069,https://cpt.tcgcsv.com/v8f2,2022-12-14T15:25:12.433,0,0.04,0.18,0.5,0.08,,Normal,10/30,Common,Basic Fighting Energy,,,,,,,,
152825,Fighting Energy (#17),Fighting Energy 17,https://tcgplayer-cdn.tcgplayer.com/product/152825_200w.jpg,3,2069,https://cpt.tcgcsv.com/w8f2,2022-12-14T15:26:55.547,0,0.04,0.17,0.5,0.05,,Normal,17/30,Common,Basic Fighting Energy,,,,,,,,
152826,Fighting Energy (#20),Fighting Energy 20,https://tcgplayer-cdn.tcgplayer.com/product/152826_200w.jpg,3,2069,https://cpt.tcgcsv.com/x8f2,2022-12-14T15:27:22.257,0,0.05,0.18,5.75,0.08,,Normal,20/30,Common,Basic Fighting Energy,,,,,,,,
152827,Fighting Energy (#24),Fighting Energy 24,https://tcgplayer-cdn.tcgplayer.com/product/152827_200w.jpg,3,2069,https://cpt.tcgcsv.com/z8f2,2022-12-14T15:29:03.77,0,0.04,0.18,0.5,0.09,,Normal,24/30,Common,Basic Fighting Energy,,,,,,,,
