productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost
87324,Meowth (#12),Meowth 12,https://tcgplayer-cdn.tcgplayer.com/product/87324_200w.jpg,3,1540,https://cpt.tcgcsv.com/vXJ,2023-12-20T15:52:01.737,1,12/30,Common,Colorless,,0.62,0.98,2.06,1.42,,Normal,60,Basic,"[1] Pay Day (10) 
<br>Draw a card.",[2] Dig Claws (20),Fx2,None,1
87577,Moomoo Milk (#1),Moomoo Milk 1,https://tcgplayer-cdn.tcgplayer.com/product/87577_200w.jpg,3,1540,https://cpt.tcgcsv.com/z2K,2023-12-20T14:32:54.377,1,1/30,Common,Item,"Choose 1 of your Pokemon.  Flip 2 coins.  For each heads, remove 3 damage counters from that Pokemon.",0.2,0.48,1.0,0.37,,Normal,,,,,,,
87578,Moomoo Milk (#26),Moomoo Milk 26,https://tcgplayer-cdn.tcgplayer.com/product/87578_200w.jpg,3,1540,https://cpt.tcgcsv.com/B2K,2023-12-20T18:27:43.12,1,26/30,Common,Item,"Choose 1 of your Pokemon.  Flip 2 coins.  For each heads, remove 3 damage counters from that Pokemon.",0.24,0.4,1.5,0.39,,Normal,,,,,,,
88099,Pikachu (#2),Pikachu 2,https://tcgplayer-cdn.tcgplayer.com/product/88099_200w.jpg,3,1540,https://cpt.tcgcsv.com/_fK,2023-12-20T14:34:41.643,1,2/30,Common,Lightning,,1.99,7.38,13.49,7.2,,Normal,60,Basic,[1] Tail Slap (10),"[1L] Quick Attack (20+) 
<br>Flip a coin.  If heads, this attack does 20 damage plus 10 more damage.",Fx2,M-20,1
88100,Pikachu (#16),Pikachu 16,https://tcgplayer-cdn.tcgplayer.com/product/88100_200w.jpg,3,1540,https://cpt.tcgcsv.com/0gK,2023-12-20T15:54:05.927,1,16/30,Common,Lightning,,3.5,6.09,9.99,6.87,,Normal,60,Basic,[1] Tail Slap (10),"[1L] Quick Attack (20+) 
<br>Flip a coin.  If heads, this attack does 20 damage plus 10 more damage.",Fx2,M-20,1
88190,Poke Ball (Gyarados),Poke Ball Gyarados,https://tcgplayer-cdn.tcgplayer.com/product/88190_200w.jpg,3,1540,https://cpt.tcgcsv.com/QhK,2023-12-20T18:13:22.033,1,23/30,Common,Item,"Flip a coin.  If heads, search your deck for a Pokemon, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.",0.2,0.3,1.0,0.28,,Normal,,,,,,,
88191,Poke Ball (Raichu),Poke Ball Raichu,https://tcgplayer-cdn.tcgplayer.com/product/88191_200w.jpg,3,1540,https://cpt.tcgcsv.com/RhK,2023-12-20T18:27:24.303,1,25/30,Common,Item,"Flip a coin.  If heads, search your deck for a Pokemon, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.",0.28,0.4,2.7,0.28,,Normal,,,,,,,
88218,Pokemon Collector (#22),Pokemon Collector 22,https://tcgplayer-cdn.tcgplayer.com/product/88218_200w.jpg,3,1540,https://cpt.tcgcsv.com/njK,2023-12-20T18:12:18.65,1,22/30,Common,Supporter,"You can play only one Supporter each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.
<br>
<br>Search your deck for up to 3 Basic Pokemon, show them to your opponent, and put them into your hand.  Shuffle your deck afterward.",4.5,7.28,14.98,7.52,,Normal,,,,,,,
88219,Pokemon Collector (#27),Pokemon Collector 27,https://tcgplayer-cdn.tcgplayer.com/product/88219_200w.jpg,3,1540,https://cpt.tcgcsv.com/pjK,2023-12-20T18:28:22.207,1,27/30,Common,Supporter,"You can play only one Supporter each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.
<br>
<br>Search your deck for up to 3 Basic Pokemon, show them to your opponent, and put them into your hand.  Shuffle your deck afterward.",4.62,9.85,14.98,5.78,,Normal,,,,,,,
88221,Pokemon Communication (#22),Pokemon Communication 22,https://tcgplayer-cdn.tcgplayer.com/product/88221_200w.jpg,3,1540,https://cpt.tcgcsv.com/rjK,2023-12-20T18:13:12.237,0,22/30,Common,Item,"Choose 1 Pokemon in your hand, show it to your opponent, and put it on top of your deck.  If you do, search your deck for a Pokemon, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.",0.49,0.87,4.89,1.05,,Normal,,,,,,,
88222,Pokemon Communication (#27),Pokemon Communication 27,https://tcgplayer-cdn.tcgplayer.com/product/88222_200w.jpg,3,1540,https://cpt.tcgcsv.com/sjK,2023-12-20T18:28:37.56,0,27/30,Common,Item,"Choose 1 Pokemon in your hand, show it to your opponent, and put it on top of your deck.  If you do, search your deck for a Pokemon, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.",0.25,0.69,2.44,1.07,,Normal,,,,,,,
88393,Professor Elm's Training Method,Professor Elms Training Method,https://tcgplayer-cdn.tcgplayer.com/product/88393_200w.jpg,3,1540,https://cpt.tcgcsv.com/TmK,2023-12-20T18:27:30.12,1,25/30,Common,Supporter,"Search your deck for an Evolution card, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.",0.25,0.53,4.72,0.94,,Normal,,,,,,,
