productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extRetreatCost,extAttack2,extResistance
87668,Mysterious Fossil,Mysterious Fossil,https://tcgplayer-cdn.tcgplayer.com/product/87668_200w.jpg,3,1374,https://cpt.tcgcsv.com/n5K,2022-11-29T19:32:56.753,1,109/110,Common,Trainer,10,,,,45.18,55.61,63.6,48.98,,Reverse Holofoil,"Play Mysterious Fossil as if it were a Basic Pokémon. While in play, Mysterious Fossil counts as a Pokémon (instead of a Trainer card). Mysterious Fossil has no attacks, can't retreat, and can't be affected by Special Conditions. If Mysterious Fossil is Knocked Out, it doesn't count as a Knocked Out Pokémon. <em>(Discard it anyway.)</em> At any time during your turn before your attack, you may discard Mysterious Fossil from play. You can put Pokémon that evolve from Mysterious Fossil on this card",,,
87694,Nidoking,Nidoking,https://tcgplayer-cdn.tcgplayer.com/product/87694_200w.jpg,3,1374,https://cpt.tcgcsv.com/V5K,2025-11-11T05:29:26.59,1,031/110,Rare,Grass,90,Stage 2,"[2G] Thrash (30+)
<br>Flip a coin. If heads, this attack does 30 damage plus 10 more damage; if tails, this attack does 30 damage plus Nidoking does 10 damage to itself.",P,8.95,12.01,17.95,12.38,,Normal,,1,"[GGG] Toxic (20)
<br>The Defending Pokémon is now Poisoned. It now takes 20 Poison damage instead of 10 after each player's turn <em>(even if it was already Poisoned)</em>.",
87694,Nidoking,Nidoking,https://tcgplayer-cdn.tcgplayer.com/product/87694_200w.jpg,3,1374,https://cpt.tcgcsv.com/V5K,2025-11-11T05:29:26.59,1,031/110,Rare,Grass,90,Stage 2,"[2G] Thrash (30+)
<br>Flip a coin. If heads, this attack does 30 damage plus 10 more damage; if tails, this attack does 30 damage plus Nidoking does 10 damage to itself.",P,75.0,100.0,125.0,139.92,,Reverse Holofoil,,1,"[GGG] Toxic (20)
<br>The Defending Pokémon is now Poisoned. It now takes 20 Poison damage instead of 10 after each player's turn <em>(even if it was already Poisoned)</em>.",
87706,Nidoqueen,Nidoqueen,https://tcgplayer-cdn.tcgplayer.com/product/87706_200w.jpg,3,1374,https://cpt.tcgcsv.com/86K,2022-11-29T19:37:13.35,1,032/110,Rare,Grass,90,Stage 2,"[1G] Boyfriends (20+)
<br>Does 20 damage plus 20 more damage for each Nidoking you have in play.",P,5.99,8.98,19.99,10.19,,Normal,,3,[2GG] Mega Punch (50),
87706,Nidoqueen,Nidoqueen,https://tcgplayer-cdn.tcgplayer.com/product/87706_200w.jpg,3,1374,https://cpt.tcgcsv.com/86K,2022-11-29T19:37:13.35,1,032/110,Rare,Grass,90,Stage 2,"[1G] Boyfriends (20+)
<br>Does 20 damage plus 20 more damage for each Nidoking you have in play.",P,99.99,149.99,199.99,133.37,,Reverse Holofoil,,3,[2GG] Mega Punch (50),
87715,Nidoran F,Nidoran F,https://tcgplayer-cdn.tcgplayer.com/product/87715_200w.jpg,3,1374,https://cpt.tcgcsv.com/k6K,2025-11-24T21:47:34.913,1,082/110,Common,Grass,60,Basic,"[G] Fury Swipes (10x)
<br>Flip 3 coins. This attack does 10 damage times the number of heads.",P,0.25,0.52,2.39,0.59,0.47,Normal,,1,"[GG] Call for Family
<br>Search your deck for a Basic Pokémon named Nidoran M or Nidoran F and put it onto your Bench. Shuffle your deck afterward. <em>(You can't use this attack if your Bench is full.)</em>",
87715,Nidoran F,Nidoran F,https://tcgplayer-cdn.tcgplayer.com/product/87715_200w.jpg,3,1374,https://cpt.tcgcsv.com/k6K,2025-11-24T21:47:34.913,1,082/110,Common,Grass,60,Basic,"[G] Fury Swipes (10x)
<br>Flip 3 coins. This attack does 10 damage times the number of heads.",P,89.99,107.5,129.99,45.97,,Reverse Holofoil,,1,"[GG] Call for Family
<br>Search your deck for a Basic Pokémon named Nidoran M or Nidoran F and put it onto your Bench. Shuffle your deck afterward. <em>(You can't use this attack if your Bench is full.)</em>",
87724,Nidoran M,Nidoran M,https://tcgplayer-cdn.tcgplayer.com/product/87724_200w.jpg,3,1374,https://cpt.tcgcsv.com/v6K,2023-01-31T11:02:48.313,1,083/110,Common,Grass,40,Basic,"[G] Horn Hazard (30)
<br>Flip a coin. If tails, this attack does nothing.",P,0.17,0.5,5.0,0.7,,Normal,,1,,
87724,Nidoran M,Nidoran M,https://tcgplayer-cdn.tcgplayer.com/product/87724_200w.jpg,3,1374,https://cpt.tcgcsv.com/v6K,2023-01-31T11:02:48.313,1,083/110,Common,Grass,40,Basic,"[G] Horn Hazard (30)
<br>Flip a coin. If tails, this attack does nothing.",P,84.99,84.99,129.49,119.95,,Reverse Holofoil,,1,,
87733,Nidorina,Nidorina,https://tcgplayer-cdn.tcgplayer.com/product/87733_200w.jpg,3,1374,https://cpt.tcgcsv.com/H6K,2023-02-22T11:19:29.687,1,055/110,Uncommon,Grass,70,Stage 1,"[G] Supersonic
<br>Flip a coin. If heads, the Defending Pokémon is now Confused.",P,0.6,1.25,3.0,1.49,,Normal,,1,"[2G] Double Kick (30x)
<br>Flip 2 coins. This attack does 30 damage times the number of heads.",
87733,Nidorina,Nidorina,https://tcgplayer-cdn.tcgplayer.com/product/87733_200w.jpg,3,1374,https://cpt.tcgcsv.com/H6K,2023-02-22T11:19:29.687,1,055/110,Uncommon,Grass,70,Stage 1,"[G] Supersonic
<br>Flip a coin. If heads, the Defending Pokémon is now Confused.",P,45.99,97.99,149.99,69.99,,Reverse Holofoil,,1,"[2G] Double Kick (30x)
<br>Flip 2 coins. This attack does 30 damage times the number of heads.",
